tensor(8.8440, grad_fn=<HuberLossBackward0>)
tensor(7.4846, grad_fn=<HuberLossBackward0>)
tensor(30.9004, grad_fn=<HuberLossBackward0>)
tensor(15.4892, grad_fn=<HuberLossBackward0>)
tensor(13.6672, grad_fn=<HuberLossBackward0>)
tensor(13.0981, grad_fn=<HuberLossBackward0>)
tensor(12.5424, grad_fn=<HuberLossBackward0>)
tensor(13.7903, grad_fn=<HuberLossBackward0>)
tensor(13.5241, grad_fn=<HuberLossBackward0>)
tensor(7.2644, grad_fn=<HuberLossBackward0>)
tensor(7.2310, grad_fn=<HuberLossBackward0>)
tensor(5.3168, grad_fn=<HuberLossBackward0>)
tensor(5.2573, grad_fn=<HuberLossBackward0>)
tensor(13.6079, grad_fn=<HuberLossBackward0>)
tensor(13.8434, grad_fn=<HuberLossBackward0>)
tensor(4.2096, grad_fn=<HuberLossBackward0>)
tensor(12.6697, grad_fn=<HuberLossBackward0>)
tensor(12.5019, grad_fn=<HuberLossBackward0>)
tensor(10.8702, grad_fn=<HuberLossBackward0>)
tensor(18.1591, grad_fn=<HuberLossBackward0>)
tensor(5.6368, grad_fn=<HuberLossBackward0>)
tensor(4.2977, grad_fn=<HuberLossBackward0>)
tensor(3.3244, grad_fn=<HuberLossBackward0>)
tensor(3.4931, grad_fn=<HuberLossBackward0>)
tensor(4.4198, grad_fn=<HuberLossBackward0>)
tensor(5.1753, grad_fn=<HuberLossBackward0>)
tensor(4.3614, grad_fn=<HuberLossBackward0>)
tensor(3.2666, grad_fn=<HuberLossBackward0>)
tensor(5.0193, grad_fn=<HuberLossBackward0>)
tensor(4.5103, grad_fn=<HuberLossBackward0>)
tensor(4.3881, grad_fn=<HuberLossBackward0>)
tensor(11.3802, grad_fn=<HuberLossBackward0>)
tensor(3.8351, grad_fn=<HuberLossBackward0>)
tensor(11.2317, grad_fn=<HuberLossBackward0>)
tensor(6.3700, grad_fn=<HuberLossBackward0>)
tensor(5.2875, grad_fn=<HuberLossBackward0>)
tensor(3.8716, grad_fn=<HuberLossBackward0>)
tensor(3.6606, grad_fn=<HuberLossBackward0>)
tensor(6.0749, grad_fn=<HuberLossBackward0>)
tensor(5.4880, grad_fn=<HuberLossBackward0>)
tensor(9.3193, grad_fn=<HuberLossBackward0>)
tensor(5.2518, grad_fn=<HuberLossBackward0>)
tensor(5.6833, grad_fn=<HuberLossBackward0>)
tensor(10.3937, grad_fn=<HuberLossBackward0>)
tensor(4.0695, grad_fn=<HuberLossBackward0>)
tensor(4.7033, grad_fn=<HuberLossBackward0>)
tensor(14.9453, grad_fn=<HuberLossBackward0>)
tensor(14.7518, grad_fn=<HuberLossBackward0>)
tensor(4.6777, grad_fn=<HuberLossBackward0>)
tensor(5.1060, grad_fn=<HuberLossBackward0>)
tensor(13.4137, grad_fn=<HuberLossBackward0>)
tensor(6.8034, grad_fn=<HuberLossBackward0>)
tensor(6.8072, grad_fn=<HuberLossBackward0>)
tensor(4.3789, grad_fn=<HuberLossBackward0>)
tensor(5.0360, grad_fn=<HuberLossBackward0>)
tensor(12.8624, grad_fn=<HuberLossBackward0>)
tensor(12.5992, grad_fn=<HuberLossBackward0>)
tensor(3.8821, grad_fn=<HuberLossBackward0>)
tensor(17.9212, grad_fn=<HuberLossBackward0>)
tensor(3.8895, grad_fn=<HuberLossBackward0>)
tensor(3.4117, grad_fn=<HuberLossBackward0>)
tensor(4.1867, grad_fn=<HuberLossBackward0>)
tensor(3.8139, grad_fn=<HuberLossBackward0>)
tensor(3.2724, grad_fn=<HuberLossBackward0>)
tensor(5.2141, grad_fn=<HuberLossBackward0>)
tensor(3.7586, grad_fn=<HuberLossBackward0>)
tensor(16.5619, grad_fn=<HuberLossBackward0>)
tensor(4.0335, grad_fn=<HuberLossBackward0>)
tensor(3.7148, grad_fn=<HuberLossBackward0>)
tensor(4.7891, grad_fn=<HuberLossBackward0>)
tensor(3.6095, grad_fn=<HuberLossBackward0>)
tensor(17.6619, grad_fn=<HuberLossBackward0>)
tensor(3.5157, grad_fn=<HuberLossBackward0>)
tensor(3.0183, grad_fn=<HuberLossBackward0>)
tensor(4.4952, grad_fn=<HuberLossBackward0>)
tensor(15.3578, grad_fn=<HuberLossBackward0>)
tensor(16.2094, grad_fn=<HuberLossBackward0>)
tensor(3.5706, grad_fn=<HuberLossBackward0>)
tensor(4.5865, grad_fn=<HuberLossBackward0>)
tensor(2.5141, grad_fn=<HuberLossBackward0>)
tensor(3.6373, grad_fn=<HuberLossBackward0>)
tensor(4.6019, grad_fn=<HuberLossBackward0>)
tensor(3.1459, grad_fn=<HuberLossBackward0>)
tensor(4.4801, grad_fn=<HuberLossBackward0>)
tensor(3.5356, grad_fn=<HuberLossBackward0>)
tensor(2.3351, grad_fn=<HuberLossBackward0>)
tensor(4.0080, grad_fn=<HuberLossBackward0>)
tensor(5.5151, grad_fn=<HuberLossBackward0>)
tensor(2.2148, grad_fn=<HuberLossBackward0>)
tensor(3.3151, grad_fn=<HuberLossBackward0>)
tensor(3.7304, grad_fn=<HuberLossBackward0>)
tensor(2.6715, grad_fn=<HuberLossBackward0>)
tensor(3.0726, grad_fn=<HuberLossBackward0>)
tensor(4.3645, grad_fn=<HuberLossBackward0>)
tensor(2.8918, grad_fn=<HuberLossBackward0>)
tensor(2.4711, grad_fn=<HuberLossBackward0>)
tensor(3.5391, grad_fn=<HuberLossBackward0>)
tensor(5.5111, grad_fn=<HuberLossBackward0>)
tensor(2.3659, grad_fn=<HuberLossBackward0>)
tensor(3.1257, grad_fn=<HuberLossBackward0>)
tensor(4.1564, grad_fn=<HuberLossBackward0>)
tensor(4.1806, grad_fn=<HuberLossBackward0>)
tensor(5.9326, grad_fn=<HuberLossBackward0>)
tensor(2.8382, grad_fn=<HuberLossBackward0>)
tensor(4.3988, grad_fn=<HuberLossBackward0>)
tensor(3.2582, grad_fn=<HuberLossBackward0>)
tensor(4.4562, grad_fn=<HuberLossBackward0>)
tensor(6.2349, grad_fn=<HuberLossBackward0>)
tensor(4.5776, grad_fn=<HuberLossBackward0>)
tensor(3.3283, grad_fn=<HuberLossBackward0>)
tensor(3.3086, grad_fn=<HuberLossBackward0>)
tensor(4.9336, grad_fn=<HuberLossBackward0>)
tensor(6.7315, grad_fn=<HuberLossBackward0>)
tensor(5.9131, grad_fn=<HuberLossBackward0>)
tensor(4.9002, grad_fn=<HuberLossBackward0>)
tensor(4.5408, grad_fn=<HuberLossBackward0>)
tensor(4.8312, grad_fn=<HuberLossBackward0>)
tensor(4.8381, grad_fn=<HuberLossBackward0>)
tensor(5.6393, grad_fn=<HuberLossBackward0>)
tensor(5.0527, grad_fn=<HuberLossBackward0>)
tensor(6.7304, grad_fn=<HuberLossBackward0>)
tensor(4.1330, grad_fn=<HuberLossBackward0>)
tensor(4.0401, grad_fn=<HuberLossBackward0>)
tensor(4.6796, grad_fn=<HuberLossBackward0>)
tensor(11.8032, grad_fn=<HuberLossBackward0>)
tensor(3.1906, grad_fn=<HuberLossBackward0>)
tensor(1.5819, grad_fn=<HuberLossBackward0>)
tensor(2.7897, grad_fn=<HuberLossBackward0>)
tensor(3.3722, grad_fn=<HuberLossBackward0>)
tensor(2.3951, grad_fn=<HuberLossBackward0>)
tensor(3.1923, grad_fn=<HuberLossBackward0>)
